series,experiment,strategy,mode,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,n_reps,total_time_mean,total_time_std,avg_comm_mean,avg_comm_std,avg_compute_mean,avg_compute_std,avg_pack_mean,avg_pack_std,avg_send_mean,avg_send_std,avg_wait_mean,avg_wait_std,avg_actual_comm_mean,avg_actual_comm_std,git_commit,git_dirty,command
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.37642333333333,0.27084817214734125,1.237086,0.20063243031141967,18.877343333333332,0.1513526859872516,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,2,8,1,1024,1024,64,1024,-1,-1,3,10.160656666666668,0.08935269305149973,0.6612899,0.035889050786091684,7.832500666666667,0.0413178844435298,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.498381999999999,0.013420338371293083,0.5147124333333334,0.01331006694957703,3.234553,0.0075022693899911815,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.3988563333333333,0.012209227584995697,0.4192551,0.005703735314686331,1.5878103333333333,0.009053672637235272,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.5625669999999998,0.01863500195867979,0.4202495,0.003502323247027123,0.8793684333333333,0.013586665261040194,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_strong/irecvisend,results_comm_strats_strong,irecvisend,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.005796666666665,0.1979864295574045,0.8421171,0.040354819732550715,18.873426666666663,0.1445944812993294,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_strong/irecvisend,results_comm_strats_strong,irecvisend,strong,2,8,1,1024,1024,64,1024,-1,-1,3,9.941931666666667,0.034068806948423146,0.47593859999999993,0.028688618805721555,7.7978076666666665,0.009106990221192171,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_strong/irecvisend,results_comm_strats_strong,irecvisend,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.285708,0.02092611833729961,0.30547573333333333,0.018180252742162,3.2324213333333334,0.0019065819911268458,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_strong/irecvisend,results_comm_strats_strong,irecvisend,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.176717,0.0032673788679410142,0.20106276666666667,0.0015240220150057632,1.5857506666666665,0.0029137729645407496,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_strong/irecvisend,results_comm_strats_strong,irecvisend,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.2945056666666666,0.004465192816540975,0.16300893333333333,0.005026631874548028,0.8704228,0.0022076055142770585,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_strong/sendrecv,results_comm_strats_strong,sendrecv,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.35042,0.19845648910193497,1.0360816333333334,0.14400262867902408,19.017013333333335,0.07174979969000303,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv
results_comm_strats_strong/sendrecv,results_comm_strats_strong,sendrecv,strong,2,8,1,1024,1024,64,1024,-1,-1,3,9.932940666666667,0.03032991144435195,0.47446666666666665,0.03157531155669286,7.799023333333333,0.014685574607605893,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv
results_comm_strats_strong/sendrecv,results_comm_strats_strong,sendrecv,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.2969116666666665,0.0037023794451074986,0.3293257,0.006687000404266979,3.220928666666667,0.00593824476498647,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv
results_comm_strats_strong/sendrecv,results_comm_strats_strong,sendrecv,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.2008620000000003,0.0077715091627474685,0.2282947333333333,0.007062586715141193,1.5830566666666668,0.0010064671987810004,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv
results_comm_strats_strong/sendrecv,results_comm_strats_strong,sendrecv,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.322729,0.002317061213405258,0.18992903333333333,0.0003661036313516719,0.8711430333333334,0.00223286774997736,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv
results_comm_strats_strong/sendrecv_evenodd,results_comm_strats_strong,sendrecv_evenodd,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.195890000000002,0.2181437023309789,0.9995681333333333,0.08774730082600196,18.891806666666668,0.11031635760645764,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv_evenodd
results_comm_strats_strong/sendrecv_evenodd,results_comm_strats_strong,sendrecv_evenodd,strong,2,8,1,1024,1024,64,1024,-1,-1,3,10.021193666666667,0.05394338093676462,0.5667106000000001,0.046056257070312044,7.796900999999999,0.007071154691185052,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy sendrecv_evenodd
