series,experiment,strategy,mode,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,n_reps,total_time_mean,total_time_std,avg_comm_mean,avg_comm_std,avg_compute_mean,avg_compute_std,avg_pack_mean,avg_pack_std,avg_send_mean,avg_send_std,avg_wait_mean,avg_wait_std,avg_actual_comm_mean,avg_actual_comm_std,git_commit,git_dirty,command
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,1,4,1,256,256,64,1024,128,128,3,1.308853,0.013241589557149068,0.17375890000000002,0.005669630889220215,0.8742054333333332,0.007751101029029497,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,2,8,1,256,512,64,1024,128,128,3,1.3690526666666667,0.007831359453433866,0.22392763333333332,0.0036071019118153833,0.8823196333333333,0.006434522093796488,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,4,16,1,512,512,64,1024,128,128,3,1.4219116666666665,0.00804426592189881,0.2847329333333333,0.006953025187802947,0.8747429666666666,0.0008087696760443218,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,8,32,1,512,1024,64,1024,128,128,3,1.529888,0.012742494339806426,0.38794526666666673,0.0017288586626892197,0.8788565333333334,0.012018856731357122,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,16,64,1,1024,1024,64,1024,128,128,3,1.5890503333333335,0.017201361987418947,0.4472217666666667,0.009102958539703195,0.8785981666666668,0.007329351342528345,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,1,4,1,256,256,64,1024,128,128,3,1.2789510000000002,0.021207143387704595,0.1406129,0.002965092728173381,0.8759477999999999,0.014619860430934354,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,2,8,1,256,512,64,1024,128,128,3,1.2739883333333333,0.008852295458743397,0.1415679,0.004855724508247967,0.8717719666666666,0.0031855447533436984,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 512 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,4,16,1,512,512,64,1024,128,128,3,1.2989540000000002,0.009959706120162396,0.1585097,0.0023586947746582223,0.8769969999999999,0.005788053016919112,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 512 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,8,32,1,512,1024,64,1024,128,128,3,1.299196,0.00920873176211943,0.16576213333333334,0.007790320658498094,0.8715117666666666,0.0008534915517384192,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,16,64,1,1024,1024,64,1024,128,128,3,1.32447,0.01204634752390395,0.19019946666666668,0.010425240998759806,0.8724809333333333,0.0012794315308847697,nan,nan,nan,nan,nan,nan,nan,nan,85786f911054318eb65412916fee493cde4e3336,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy irecvisend
