series,experiment,strategy,mode,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,n_reps,total_time_mean,total_time_std,avg_comm_mean,avg_comm_std,avg_compute_mean,avg_compute_std,avg_pack_mean,avg_pack_std,avg_send_mean,avg_send_std,avg_wait_mean,avg_wait_std,avg_actual_comm_mean,avg_actual_comm_std,git_commit,git_dirty,command
corners,results_weak_128_detailed_timing,corners,weak,1,1,1,128,128,64,1024,128,128,3,1.2113073333333333,0.0024404527357757473,0.09063872333333334,0.0006182259501904577,1.120501,0.0026821194355707467,0.07944603,0.0004721552266645671,0.010230633333333334,0.0001978603134087836,0.000539339,2.7152261059931387e-05,0.010769972333333334,0.00019495813831749105,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 128 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,1,2,1,128,256,64,1024,128,128,3,1.278371,0.016880625837529497,0.1462384,0.004856226444473121,1.1319246666666667,0.01210338799216524,0.08979261333333333,0.0007402191873732766,0.01177727,0.00026094275630234807,0.04423099666666667,0.004160275953878809,0.05600826666666667,0.0042478503879047145,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 256 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,1,4,1,256,256,64,1024,128,128,3,1.3287136666666666,0.010894467597006352,0.19200103333333332,0.006177475289217188,1.1365939999999999,0.017066552629827383,0.1242219,0.003300146149288945,0.013696233333333335,0.00016269962862759012,0.053905803333333335,0.0041566964967975325,0.06760203666666668,0.004185624592700857,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 256 --ny 256 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,2,8,1,256,512,64,1024,128,128,3,1.3455446666666668,0.01768368425664998,0.20326786666666666,0.011374737474577405,1.1421366666666666,0.009940359226685722,0.12337193333333334,0.0028046553755418095,0.01250996,9.478674309557597e-05,0.06710323333333333,0.011245126215104135,0.07961319333333333,0.01124545897324585,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 256 --ny 512 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,4,16,1,512,512,64,1024,128,128,3,1.3780673333333333,0.022245337673818835,0.20396013333333332,0.010050025752648047,1.1739836666666668,0.012509820817617172,0.11755503333333334,0.001812387804956642,0.009984937333333332,5.28106042402684e-05,0.07609452666666668,0.009713899489529882,0.086079464,0.009741332106425929,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 512 --ny 512 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,8,32,1,512,1024,64,1024,128,128,3,1.3261346666666667,0.0049186652886959534,0.19872323333333333,0.0026471501460165765,1.1272906666666664,0.0028224070499407923,0.11753593333333334,0.00059898265602789,0.009853183666666668,0.00011616235219821489,0.07101330666666666,0.0022605362942501555,0.08086649033333333,0.0023464883911187115,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 512 --ny 1024 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,16,64,1,1024,1024,64,1024,128,128,3,1.3426573333333334,0.01350955563871572,0.2059571,0.007519165033876212,1.1365736666666666,0.007051839397553569,0.11490183333333333,0.0004735750861502585,0.009456173,5.5693574440863506e-05,0.08126548333333333,0.007861568407153598,0.09072165633333333,0.007916600993649752,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_weak_128_detailed_timing,corners,weak,24,96,1,1024,1536,64,1024,128,128,3,1.3774043333333335,0.012503454491548436,0.22962653333333335,0.018165444185106582,1.1476533333333332,0.019658435972601956,0.11233253333333333,0.0004246843245936422,0.009303126333333333,0.00014628406172542864,0.10767067999999998,0.018292058750273756,0.11697380633333332,0.018196792399304385,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 1024 --ny 1536 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,1,1,1,128,128,64,1024,128,128,3,1.260858,0.026653770577537473,0.08454333333333335,0.0016921383308373123,1.176171,0.024981678779991308,0.07602979666666666,0.0013711547484348962,0.0076073,0.0002174180102950692,0.00040791066666666663,5.800851518144171e-05,0.008015210666666668,0.0002716171807481179,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 128 --ny 128 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,1,2,1,128,256,64,1024,128,128,3,1.2812686666666666,0.01397523457962541,0.13782533333333333,0.008944661581201505,1.1431626666666668,0.005352568313955077,0.08598106000000001,0.0039042702204722833,0.005716664666666667,0.00013023973831959105,0.04550293,0.005337304209061599,0.05121959466666667,0.005328510045268209,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 128 --ny 256 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,1,4,1,256,256,64,1024,128,128,3,1.3402653333333336,0.015667614354315573,0.1954238,0.005210549514846461,1.14471,0.018451145348369787,0.13476463333333336,0.0033224640277293585,0.005643277999999999,7.432070275501964e-05,0.05469510666666667,0.00462038495659062,0.06033838466666667,0.0046944986062752445,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 256 --ny 256 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,2,8,1,256,512,64,1024,128,128,3,1.3197846666666666,0.002119635398416994,0.1916492,0.0006258263656957924,1.1279933333333334,0.0026946027948887277,0.1275455,0.00048278737210770607,0.006928549666666666,3.0492978583419954e-05,0.056806343333333335,0.0010438360327922923,0.063734893,0.0010136996183390118,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 256 --ny 512 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,4,16,1,512,512,64,1024,128,128,3,1.347473,0.03288060699966875,0.20506253333333332,0.01049622935481542,1.1422793333333334,0.026362336471227706,0.11639320000000002,0.00044055951546490235,0.006765691666666667,5.825409356336147e-05,0.08156595,0.010065521138351454,0.08833164166666667,0.010094989063960573,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 512 --ny 512 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,8,32,1,512,1024,64,1024,128,128,3,1.3341023333333333,0.0007124073429031209,0.2063032,0.00018287476589184804,1.1276736666666667,0.000555499374937144,0.11801430000000002,0.0009335912703105101,0.006757172333333333,1.0486574157252605e-05,0.08117868333333333,0.0008430276636953017,0.08793585566666666,0.0008327815184414017,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 512 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,16,64,1,1024,1024,64,1024,128,128,3,1.3512753333333334,0.011214836789816525,0.22038766666666668,0.0110441087995164,1.1307599999999998,0.00132034414705657,0.11272313333333334,0.0003496043509772467,0.0063822053333333325,2.348343274641837e-05,0.1009212,0.011136939736151338,0.10730340533333334,0.01113182778061837,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_weak_128_detailed_timing,mpi_leftright,weak,24,96,1,1024,1536,64,1024,128,128,3,1.4238013333333335,0.007501851963941282,0.25048676666666664,0.007731037716604113,1.1731800000000001,0.0008815739711826126,0.11177033333333332,0.000262195974204198,0.006586360333333333,4.736619078578692e-05,0.13177773333333334,0.00790781433154713,0.13836409366666666,0.007907781862934948,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi.x --nx 1024 --ny 1536 --nz 64 --num_iter 1024
pipelined,results_weak_128_detailed_timing,pipelined,weak,1,1,1,128,128,64,1024,128,128,3,1.3295446666666668,0.09675532314153172,0.09823735333333333,0.008011989897240814,1.231064,0.08982756168348335,0.08582742666666666,0.006239925923328115,0.01112176,0.0017573695671277193,0.0006201123333333334,5.849926166105763e-05,0.011741872333333334,0.0018153991825936126,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners-pipelined.x --nx 128 --ny 128 --nz 64 --num_iter 1024
pipelined,results_weak_128_detailed_timing,pipelined,weak,1,2,1,128,256,64,1024,128,128,3,1.2801036666666665,0.01251279263616069,0.15085083333333335,0.0019173410761317894,1.1290133333333332,0.013128234416283456,0.08855428,0.0005014942639751722,0.03194337666666667,0.0008263153607968861,0.02959879333333333,0.002203225704436313,0.06154217,0.0015496642894080865,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners-pipelined.x --nx 128 --ny 256 --nz 64 --num_iter 1024
