series,experiment,strategy,mode,rep,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,total_time,max_comm,max_compute,avg_comm,avg_compute,avg_pack,avg_send,avg_wait,binary,command,env_overrides,srun_extra,app_extra,git_commit,git_branch,git_dirty,slurm_jobid,t_start,t_start_approx,wall_s,metadata_source,source_file
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,1,1,4,1,1024,1024,64,1024,-1,-1,25.59637,1.881292,19.5286,1.514093,18.82861,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866964,2026-09-15T15:52:53+02:00,0,78.158,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N1_n4_c1_rep1.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,2,1,4,1,1024,1024,64,1024,-1,-1,25.53803,1.406813,19.36932,1.151784,19.08221,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866973,2026-09-15T15:56:19+02:00,0,46.874,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N1_n4_c1_rep2.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,3,1,4,1,1024,1024,64,1024,-1,-1,24.99487,1.342914,18.89258,1.045381,18.72121,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867008,2026-09-15T15:59:23+02:00,0,38.859,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N1_n4_c1_rep3.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,1,2,8,1,1024,1024,64,1024,-1,-1,10.28693,0.8215521,8.011523,0.7117767,7.890931,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867046,2026-09-15T16:02:16+02:00,0,92.465,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N2_n8_c1_rep1.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,2,2,8,1,1024,1024,64,1024,-1,-1,10.09338,0.7372857,7.908999,0.6315356,7.803702,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867052,2026-09-15T16:05:22+02:00,0,30.768,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N2_n8_c1_rep2.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,3,2,8,1,1024,1024,64,1024,-1,-1,10.10166,0.7382535,7.951782,0.6405574,7.802869,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867062,2026-09-15T16:07:31+02:00,0,32.829,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N2_n8_c1_rep3.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,1,4,16,1,1024,1024,64,1024,-1,-1,4.479448,0.5783367,3.333565,0.4996284,3.231228,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867068,2026-09-15T16:09:45+02:00,0,67.687,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N4_n16_c1_rep1.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,2,4,16,1,1024,1024,64,1024,-1,-1,4.508983,0.5860754,3.319281,0.5320059,3.22749,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867075,2026-09-15T16:12:16+02:00,0,26.614,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N4_n16_c1_rep2.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,3,4,16,1,1024,1024,64,1024,-1,-1,4.506715,0.6290819,3.324804,0.512503,3.244941,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867080,2026-09-15T16:14:06+02:00,0,28.237,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N4_n16_c1_rep3.py
results_comm_strats_strong/brokencycles,results_comm_strats_strong,brokencycles,strong,1,8,32,1,1024,1024,64,1024,-1,-1,2.413601,0.4458371,1.639359,0.4185295,1.60051,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,867084,2026-09-15T16:15:56+02:00,0,988.779,recorded,results/blocking_non_blocking/results_comm_strats_strong/result_brokencycles_N8_n32_c1_rep1.py
