series,experiment,strategy,mode,rep,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,total_time,max_comm,max_compute,avg_comm,avg_compute,avg_pack,avg_send,avg_wait,binary,command,env_overrides,srun_extra,app_extra,git_commit,git_branch,git_dirty,slurm_jobid,t_start,t_start_approx,wall_s,metadata_source,source_file
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,1,1,4,1,256,256,64,1024,128,128,1.324962,0.1850314,0.895385,0.1770303,0.8849262,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866581,2026-09-15T14:46:40+02:00,0,17.366,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N1_n4_c1_rep1.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,2,1,4,1,256,256,64,1024,128,128,1.292529,0.1688729,0.8690331,0.1657836,0.8668656,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866588,2026-09-15T14:48:28+02:00,0,30.02,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N1_n4_c1_rep2.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,3,1,4,1,256,256,64,1024,128,128,1.309068,0.2010307,0.8872552,0.1784628,0.8708245,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866594,2026-09-15T14:50:28+02:00,0,30.146,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N1_n4_c1_rep3.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,1,2,8,1,256,512,64,1024,128,128,1.375538,0.2361889,0.9120264,0.2202631,0.8907432,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866600,2026-09-15T14:52:29+02:00,0,62.257,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N2_n8_c1_rep1.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,2,2,8,1,256,512,64,1024,128,128,1.358035,0.2312186,0.8834711,0.2226866,0.8751267,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866606,2026-09-15T14:54:51+02:00,0,19.477,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N2_n8_c1_rep2.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,3,2,8,1,256,512,64,1024,128,128,1.373585,0.2475843,0.8918351,0.2288332,0.881089,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866619,2026-09-15T14:56:04+02:00,0,14.04,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N2_n8_c1_rep3.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,1,4,16,1,512,512,64,1024,128,128,1.421509,0.3017602,0.8931605,0.2839566,0.8752823,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866626,2026-09-15T14:57:01+02:00,0,19.818,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N4_n16_c1_rep1.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,2,4,16,1,512,512,64,1024,128,128,1.412267,0.2999269,0.8911292,0.276632,0.8735998,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866631,2026-09-15T14:58:22+02:00,0,20.351,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N4_n16_c1_rep2.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,3,4,16,1,512,512,64,1024,128,128,1.431959,0.3095192,0.8919215,0.2936102,0.8753468,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 512 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866645,2026-09-15T14:59:41+02:00,0,20.538,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N4_n16_c1_rep3.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,1,8,32,1,512,1024,64,1024,128,128,1.547907,0.4099192,0.9201359,0.3855772,0.8958396,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866649,2026-09-15T15:01:03+02:00,0,228.106,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N8_n32_c1_rep1.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,2,8,32,1,512,1024,64,1024,128,128,1.521087,0.4137479,0.8941358,0.3886024,0.8709658,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866660,2026-09-15T15:05:58+02:00,0,21.308,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N8_n32_c1_rep2.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,3,8,32,1,512,1024,64,1024,128,128,1.52067,0.4229753,0.893953,0.3896562,0.8697642,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 512 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866665,2026-09-15T15:07:27+02:00,0,22.044,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N8_n32_c1_rep3.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,1,16,64,1,1024,1024,64,1024,128,128,1.612223,0.4935487,0.9300835,0.457796,0.8889589,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866669,2026-09-15T15:08:53+02:00,0,113.451,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N16_n64_c1_rep1.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,2,16,64,1,1024,1024,64,1024,128,128,1.583875,0.4861134,0.9077482,0.4482935,0.8731523,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866679,2026-09-15T15:11:56+02:00,0,23.455,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N16_n64_c1_rep2.py
results_comm_strats_weak/brokencycles,results_comm_strats_weak,brokencycles,weak,3,16,64,1,1024,1024,64,1024,128,128,1.571053,0.4702041,0.9058351,0.4355758,0.8736833,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024 --comm_strategy brokencycles,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy brokencycles,85786f911054318eb65412916fee493cde4e3336,main,1,866726,2026-09-15T15:13:30+02:00,0,23.541,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_brokencycles_N16_n64_c1_rep3.py
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,1,1,4,1,256,256,64,1024,128,128,1.260787,0.1484052,0.8704306,0.138011,0.8633807,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy irecvisend,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy irecvisend,85786f911054318eb65412916fee493cde4e3336,main,1,866586,2026-09-15T14:47:57+02:00,0,30.335,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_irecvisend_N1_n4_c1_rep1.py
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,2,1,4,1,256,256,64,1024,128,128,1.267365,0.1700531,0.8753642,0.139066,0.868013,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy irecvisend,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy irecvisend,85786f911054318eb65412916fee493cde4e3336,main,1,866593,2026-09-15T14:49:58+02:00,0,29.962,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_irecvisend_N1_n4_c1_rep2.py
results_comm_strats_weak/irecvisend,results_comm_strats_weak,irecvisend,weak,3,1,4,1,256,256,64,1024,128,128,1.308701,0.1686786,0.9072305,0.1447617,0.8964497,nan,nan,nan,./stencil2d-comm_strats_timer.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-comm_strats_timer.x --nx 256 --ny 256 --nz 64 --num_iter 1024 --comm_strategy irecvisend,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,--comm_strategy irecvisend,85786f911054318eb65412916fee493cde4e3336,main,1,866598,2026-09-15T14:51:58+02:00,0,30.484,recorded,results/blocking_non_blocking/results_comm_strats_weak/result_irecvisend_N1_n4_c1_rep3.py
