series,experiment,strategy,mode,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,n_reps,total_time_mean,total_time_std,avg_comm_mean,avg_comm_std,avg_compute_mean,avg_compute_std,avg_pack_mean,avg_pack_std,avg_send_mean,avg_send_std,avg_wait_mean,avg_wait_std,avg_actual_comm_mean,avg_actual_comm_std,git_commit,git_dirty,command
corners,results_strong_1024_detailed_timing,corners,strong,1,2,1,1024,1024,64,1024,-1,-1,3,44.823753333333336,0.4383381148788639,1.1914766666666667,0.06869154340156354,43.631663333333336,0.49346183110303,0.7899404666666667,0.02482880421020893,0.016825573333333333,0.0004217896645907236,0.3844573,0.0744032376347965,0.40128287333333335,0.074786096096087,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_strong_1024_detailed_timing,corners,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.324526666666667,0.19519923929724364,0.9961413333333334,0.08220860299803719,24.32774666666667,0.17182267260819256,0.5383394666666667,0.0012599804345923807,0.021534996666666667,0.00033107004841204866,0.4359738,0.08121149579712632,0.45750879666666666,0.08152241879040156,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_strong_1024_detailed_timing,corners,strong,2,8,1,1024,1024,64,1024,-1,-1,3,9.934132666666668,0.0941322887194162,0.51422,0.079218209223932,9.419465333333333,0.016721509348407985,0.2313727,0.00406367764715658,0.02780231,0.00017886224214927785,0.25427333333333335,0.0823064876798637,0.28207564333333335,0.08213165654819436,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_strong_1024_detailed_timing,corners,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.4053786666666666,0.08848103307237978,0.43017633333333327,0.0750165993654886,3.975058333333333,0.013500457037531064,0.20861423333333332,0.002149178736685767,0.011828833333333335,0.00016879932273429138,0.2095661,0.07295250844355299,0.2213949333333333,0.07309503859306747,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_strong_1024_detailed_timing,corners,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.2328189999999997,0.02870524054361276,0.2531269,0.023372938848591554,1.9795580000000002,0.0054716218802106295,0.1299905,0.0013804632652362262,0.010362750000000002,0.0001219916737595921,0.11246831,0.022410376437062958,0.12283105999999999,0.022532140062839122,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_strong_1024_detailed_timing,corners,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.365041,0.04795572838219294,0.21701816666666665,0.024208652168227422,1.1478943333333333,0.023787617245580095,0.11382086666666667,0.0007211337478042653,0.009533625333333334,0.00013125216025481438,0.09358596666666667,0.023249913443006382,0.103119592,0.023375547298262828,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
corners,results_corners_strong_1024_timed_n96,corners,strong,24,96,1,1024,1024,64,1024,-1,-1,3,0.9362962,0.00559564312836339,0.17872663333333336,0.008910906767302388,0.7574412333333332,0.005438029130934212,0.08326161333333333,0.0006465890759121214,0.009310828666666666,2.609374903858942e-05,0.08579033666666668,0.008602135518588133,0.09510116533333333,0.00862707471579671,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,1,2,1,1024,1024,64,1024,-1,-1,3,44.47633,0.19520240111228337,1.16702,0.07694375882422179,43.30858333333333,0.18482318204765905,0.7466149666666667,0.027763785113505145,0.012538293333333332,0.000598216859136848,0.4071826,0.05266268420130772,0.41972089333333323,0.052922854431463634,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,1,4,1,1024,1024,64,1024,-1,-1,3,24.965106666666667,0.08031590018310333,0.9788140333333333,0.04883139484637132,23.985403333333334,0.10173529847381105,0.49276689999999995,0.006434154753086577,0.013882446666666666,0.0004261781075507703,0.47177420000000003,0.05086491172396417,0.4856566466666667,0.05105656441652426,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,2,8,1,1024,1024,64,1024,-1,-1,3,9.903604999999999,0.01592645913775791,0.4323288,0.012157441455339195,9.470567,0.012762696972035038,0.22889626666666665,0.0007709741255205795,0.019505036666666666,0.0008916437446399526,0.18295329999999999,0.01130092120050397,0.20245833666666666,0.012002276071341172,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
