series,experiment,strategy,mode,rep,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,total_time,max_comm,max_compute,avg_comm,avg_compute,avg_pack,avg_send,avg_wait,binary,command,env_overrides,srun_extra,app_extra,git_commit,git_branch,git_dirty,slurm_jobid,t_start,t_start_approx,wall_s,metadata_source,source_file
corners,results_strong_1024_detailed_timing,corners,strong,1,1,2,1,1024,1024,64,1024,-1,-1,45.41561,1.186416,44.39857,1.101383,44.31367,0.7791227,0.01658422,0.3053524,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837287,2026-08-31T13:25:34+02:00,0,62.186,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N1_n2_c1_rep1.py
corners,results_strong_1024_detailed_timing,corners,strong,2,1,2,1,1024,1024,64,1024,-1,-1,44.36817,1.250924,43.20835,1.205057,43.16257,0.8242792,0.01647384,0.3639217,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837290,2026-08-31T13:28:38+02:00,0,61.529,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N1_n2_c1_rep2.py
corners,results_strong_1024_detailed_timing,corners,strong,3,1,2,1,1024,1024,64,1024,-1,-1,44.68748,1.549799,43.7005,1.26799,43.41875,0.7664195,0.01741866,0.4840978,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837294,2026-08-31T13:31:42+02:00,0,59.098,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N1_n2_c1_rep3.py
corners,results_strong_1024_detailed_timing,corners,strong,1,1,4,1,1024,1024,64,1024,-1,-1,25.18632,1.273599,24.46675,1.056731,24.12891,0.5401107,0.02162129,0.4946999,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837277,2026-08-31T13:19:20+02:00,0,41.074,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N1_n4_c1_rep1.py
corners,results_strong_1024_detailed_timing,corners,strong,2,1,4,1,1024,1024,64,1024,-1,-1,25.60058,1.4179,24.74725,1.051777,24.54813,0.5376223,0.02189038,0.4920882,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837280,2026-08-31T13:21:23+02:00,0,42.303,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N1_n4_c1_rep2.py
corners,results_strong_1024_detailed_timing,corners,strong,3,1,4,1,1024,1024,64,1024,-1,-1,25.18668,1.087637,24.4191,0.879916,24.3062,0.5372854,0.02109332,0.3211333,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837283,2026-08-31T13:23:29+02:00,0,42.125,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N1_n4_c1_rep3.py
corners,results_strong_1024_detailed_timing,corners,strong,1,2,8,1,1024,1024,64,1024,-1,-1,9.804266,0.4516438,9.454233,0.4075043,9.396315,0.2339829,0.02805306,0.1447114,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837263,2026-08-31T13:15:05+02:00,0,26.592,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N2_n8_c1_rep1.py
corners,results_strong_1024_detailed_timing,corners,strong,2,2,8,1,1024,1024,64,1024,-1,-1,10.02441,0.6959397,9.620717,0.5971093,9.426862,0.2256336,0.02764811,0.3430936,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837268,2026-08-31T13:16:28+02:00,0,29.509,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N2_n8_c1_rep2.py
corners,results_strong_1024_detailed_timing,corners,strong,3,2,8,1,1024,1024,64,1024,-1,-1,9.973722,0.5873642,9.609846,0.5380464,9.435219,0.2345016,0.02770576,0.275015,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837273,2026-08-31T13:17:54+02:00,0,28.293,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N2_n8_c1_rep3.py
corners,results_strong_1024_detailed_timing,corners,strong,1,4,16,1,1024,1024,64,1024,-1,-1,4.52817,0.693343,4.230986,0.5345301,3.993493,0.2115786,0.01205121,0.310804,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837250,2026-08-31T13:11:43+02:00,0,21.965,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N4_n16_c1_rep1.py
corners,results_strong_1024_detailed_timing,corners,strong,2,4,16,1,1024,1024,64,1024,-1,-1,4.323125,0.4402016,4.040628,0.3614479,3.961538,0.2077133,0.01179282,0.1417347,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837254,2026-08-31T13:12:50+02:00,0,22.374,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N4_n16_c1_rep2.py
corners,results_strong_1024_detailed_timing,corners,strong,3,4,16,1,1024,1024,64,1024,-1,-1,4.364841,0.4837341,4.091016,0.394551,3.970144,0.2065508,0.01164247,0.1761596,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837259,2026-08-31T13:13:58+02:00,0,21.727,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N4_n16_c1_rep3.py
corners,results_strong_1024_detailed_timing,corners,strong,1,8,32,1,1024,1024,64,1024,-1,-1,2.270327,0.3405669,2.025469,0.28303,1.987161,0.1304893,0.01051781,0.1417514,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837208,2026-08-31T13:08:40+02:00,0,21.1,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N8_n32_c1_rep1.py
corners,results_strong_1024_detailed_timing,corners,strong,2,8,32,1,1024,1024,64,1024,-1,-1,2.227513,0.289213,2.031638,0.2503735,1.977003,0.1313757,0.01035072,0.108325,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837241,2026-08-31T13:09:41+02:00,0,19.047,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N8_n32_c1_rep2.py
corners,results_strong_1024_detailed_timing,corners,strong,3,8,32,1,1024,1024,64,1024,-1,-1,2.200617,0.2831972,2.015561,0.2259772,1.97451,0.1281065,0.01021972,0.08732853,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837245,2026-08-31T13:10:42+02:00,0,19.958,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N8_n32_c1_rep3.py
corners,results_strong_1024_detailed_timing,corners,strong,1,16,64,1,1024,1024,64,1024,-1,-1,1.43271,0.2868694,1.233446,0.2510543,1.181525,0.1148127,0.009716372,0.1262364,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837157,2026-08-31T12:44:26+02:00,0,23.493,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N16_n64_c1_rep1.py
corners,results_strong_1024_detailed_timing,corners,strong,2,16,64,1,1024,1024,64,1024,-1,-1,1.327294,0.2395098,1.164152,0.1967994,1.130365,0.1131194,0.00947042,0.07389926,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837163,2026-08-31T12:45:51+02:00,0,27.824,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N16_n64_c1_rep2.py
corners,results_strong_1024_detailed_timing,corners,strong,3,16,64,1,1024,1024,64,1024,-1,-1,1.335119,0.2483718,1.170052,0.2032008,1.131793,0.1135305,0.009414084,0.08062224,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837168,2026-08-31T12:47:19+02:00,0,29.037,recorded,results/corners/results_strong_1024_detailed_timing/result_corners_N16_n64_c1_rep3.py
corners,results_corners_strong_1024_timed_n96,corners,strong,1,24,96,1,1024,1024,64,1024,-1,-1,0.9361371,0.2122428,0.7915172,0.1711975,0.764812,0.08365199,0.009296167,0.07788262,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837620,2026-08-31T14:41:47+02:00,0,19.846,recorded,results/corners/results_corners_strong_1024_timed_n96/result_corners_N24_n96_c1_rep1.py
corners,results_corners_strong_1024_timed_n96,corners,strong,2,24,96,1,1024,1024,64,1024,-1,-1,0.9295239,0.2123654,0.7798212,0.1737396,0.7556564,0.08235031,0.009288832,0.08173819,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837624,2026-08-31T14:43:01+02:00,0,24.517,recorded,results/corners/results_corners_strong_1024_timed_n96/result_corners_N24_n96_c1_rep2.py
corners,results_corners_strong_1024_timed_n96,corners,strong,3,24,96,1,1024,1024,64,1024,-1,-1,0.9432276,0.2296354,0.7741101,0.1912428,0.7518553,0.08378254,0.009347487,0.0977502,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores ./stencil2d-mpi-corners.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837632,2026-08-31T14:44:17+02:00,0,26.596,recorded,results/corners/results_corners_strong_1024_timed_n96/result_corners_N24_n96_c1_rep3.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,1,1,2,1,1024,1024,64,1024,-1,-1,44.20213,1.168668,43.13073,1.119457,43.08179,0.7163938,0.01319136,0.3891845,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837252,2026-08-31T13:12:09+02:00,0,58.699,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N1_n2_c1_rep1.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,2,1,2,1,1024,1024,64,1024,-1,-1,44.58574,1.510046,43.54394,1.275559,43.30945,0.7834339,0.01267751,0.4787683,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837255,2026-08-31T13:13:08+02:00,0,60.48,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N1_n2_c1_rep2.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,3,1,2,1,1024,1024,64,1024,-1,-1,44.64112,1.252584,43.68155,1.106044,43.53451,0.7400172,0.01174601,0.353595,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837260,2026-08-31T13:14:08+02:00,0,61.585,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N1_n2_c1_rep3.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,1,1,4,1,1024,1024,64,1024,-1,-1,24.85246,1.113117,24.16158,0.9833893,23.86821,0.5013635,0.01333127,0.4684541,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837243,2026-08-31T13:10:06+02:00,0,40.872,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N1_n4_c1_rep1.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,2,1,4,1,1024,1024,64,1024,-1,-1,25.03404,1.33342,24.29448,0.9168518,24.11628,0.4910515,0.01394686,0.4112041,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837246,2026-08-31T13:10:47+02:00,0,39.909,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N1_n4_c1_rep2.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,3,1,4,1,1024,1024,64,1024,-1,-1,25.00882,1.266658,24.26046,1.036201,23.97172,0.4858857,0.01436921,0.5356644,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837249,2026-08-31T13:11:27+02:00,0,41.875,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N1_n4_c1_rep3.py
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,1,2,8,1,1024,1024,64,1024,-1,-1,9.92538,0.5883018,9.583825,0.4460419,9.478613,0.228412,0.02076334,0.1959194,./stencil2d-mpi.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15,,5f659f41dc0b2cbd347870eaa2405c47714603f4,main,1,837209,2026-08-31T13:08:42+02:00,0,28.534,recorded,results/corners/results_strong_1024_detailed_timing/result_mpi_leftright_N2_n8_c1_rep1.py
