series,experiment,strategy,mode,rep,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,total_time,max_comm,max_compute,avg_comm,avg_compute,avg_pack,avg_send,avg_wait,binary,command,env_overrides,srun_extra,app_extra,git_commit,git_branch,git_dirty,slurm_jobid,t_start,t_start_approx,wall_s,metadata_source,source_file
corners,results_weak_128_detailed_timing,corners,weak,1,1,1,1,128,128,64,1024,128,128,1.214483,0.09073639,1.123587,0.09073639,1.123587,0.07973872,0.0100639,0.0005737,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 128 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836767,2026-08-31T11:39:38+02:00,0,24.065,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n1_c1_rep1.py
corners,results_weak_128_detailed_timing,corners,weak,2,1,1,1,128,128,64,1024,128,128,1.208549,0.09134232,1.117048,0.09134232,1.117048,0.07981944,0.01050861,0.000537003,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 128 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836802,2026-08-31T11:41:07+02:00,0,24.173,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n1_c1_rep2.py
corners,results_weak_128_detailed_timing,corners,weak,3,1,1,1,128,128,64,1024,128,128,1.21089,0.08983746,1.120868,0.08983746,1.120868,0.07877993,0.01011939,0.000507314,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 128 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836806,2026-08-31T11:42:35+02:00,0,26.896,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n1_c1_rep3.py
corners,results_weak_128_detailed_timing,corners,weak,1,1,2,1,128,256,64,1024,128,128,1.28989,0.1579643,1.149928,0.1488752,1.140876,0.09034041,0.01150997,0.04677884,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 256 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836813,2026-08-31T11:44:01+02:00,0,33.875,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n2_c1_rep1.py
corners,results_weak_128_detailed_timing,corners,weak,2,1,2,1,128,256,64,1024,128,128,1.254503,0.1404001,1.115653,0.1394282,1.114814,0.08874617,0.01169058,0.03836434,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 256 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836816,2026-08-31T11:45:34+02:00,0,29.88,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n2_c1_rep2.py
corners,results_weak_128_detailed_timing,corners,weak,3,1,2,1,128,256,64,1024,128,128,1.29072,0.1609988,1.150439,0.1504118,1.140084,0.09029126,0.01213126,0.04754981,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 128 --ny 256 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836819,2026-08-31T11:47:05+02:00,0,29.795,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n2_c1_rep3.py
corners,results_weak_128_detailed_timing,corners,weak,1,1,4,1,256,256,64,1024,128,128,1.343966,0.1956443,1.176894,0.1834157,1.16043,0.1201348,0.01351412,0.04961947,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 256 --ny 256 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836823,2026-08-31T11:48:35+02:00,0,31.019,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n4_c1_rep1.py
corners,results_weak_128_detailed_timing,corners,weak,2,1,4,1,256,256,64,1024,128,128,1.319201,0.2076508,1.137194,0.197694,1.121392,0.124314,0.0136655,0.05953289,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 256 --ny 256 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836827,2026-08-31T11:50:05+02:00,0,29.729,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n4_c1_rep2.py
corners,results_weak_128_detailed_timing,corners,weak,3,1,4,1,256,256,64,1024,128,128,1.322974,0.2054698,1.135168,0.1948934,1.12796,0.1282169,0.01390908,0.05256505,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 256 --ny 256 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836833,2026-08-31T11:51:35+02:00,0,29.269,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N1_n4_c1_rep3.py
corners,results_weak_128_detailed_timing,corners,weak,1,2,8,1,256,512,64,1024,128,128,1.353158,0.2295015,1.172807,0.1994514,1.153565,0.1270235,0.01262776,0.0595042,./stencil2d-mpi-corners.x,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10 ./stencil2d-mpi-corners.x --nx 256 --ny 512 --nz 64 --num_iter 1024,OMP_NUM_THREADS=1,--ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 10,,06d245a2a1b44d63cdba3f3f9e8b2bf007f444e0,main,1,836836,2026-08-31T11:53:05+02:00,0,31.84,recorded,results/corners/results_weak_128_detailed_timing/result_corners_N2_n8_c1_rep1.py
